[2026-06-17 13:48:36] [DRONE] TEXT: "That's how I like it." | INTENT: GET_ALTITUDE | CONF: 0.85 | STATUS: ALT_QUERY_-0.1m
[2026-06-17 13:48:38] [DRONE] TEXT: "Yes, for you." | INTENT: REJECTED | CONF: 0.51 | STATUS: INVALID
[2026-06-17 14:04:41] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-17 14:04:46] [PLANE] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-17 14:05:09] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-17 14:05:52] [PLANE] TEXT: "go up to" | INTENT: CLIMB_TO | CONF: 1.00 | STATUS: CLIMB_FAILED
[2026-06-17 14:35:47] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-17 14:35:58] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-17 14:36:15] [DRONE] TEXT: "go rmove right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: RIGHT_2.0S
[2026-06-17 14:36:34] [DRONE] TEXT: "go up" | INTENT: ASCEND | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_BY_5.0M
[2026-06-17 14:36:55] [DRONE] TEXT: "go down" | INTENT: DESCEND | CONF: 1.00 | STATUS: DESCEND_3.0M
[2026-06-17 14:37:39] [DRONE] TEXT: "go up 10" | INTENT: ASCEND | CONF: 0.90 | STATUS: ALTITUDE_INCREASE_BY_10.0M
[2026-06-17 14:38:09] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-17 14:38:27] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-17 14:38:49] [DRONE] TEXT: "move froward 10" | INTENT: MOVE_LEFT | CONF: 0.85 | STATUS: LEFT_10.0S
[2026-06-17 14:39:15] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-17 14:39:33] [DRONE] TEXT: "go up 10" | INTENT: ASCEND | CONF: 0.90 | STATUS: ALTITUDE_INCREASE_BY_10.0M
[2026-06-17 14:39:50] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-17 14:40:07] [DRONE] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: RIGHT_2.0S
[2026-06-17 14:40:51] [DRONE] TEXT: "move left 20" | INTENT: MOVE_LEFT | CONF: 0.95 | STATUS: LEFT_20.0S
[2026-06-17 14:40:59] [DRONE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-17 15:12:00] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-17 15:13:39] [PLANE] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-17 15:13:48] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-17 15:32:11] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-17 15:32:38] [PLANE] TEXT: "trun right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: UNHANDLED_INTENT
[2026-06-17 15:32:45] [PLANE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-17 15:33:22] [PLANE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-17 15:33:34] [PLANE] TEXT: "move backword" | INTENT: MOVE_BACKWARD | CONF: 0.92 | STATUS: UNHANDLED_INTENT
[2026-06-17 15:33:43] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-17 15:35:06] [PLANE] TEXT: "climb" | INTENT: ASCEND | CONF: 1.00 | STATUS: CLIMB_TO_100.0M
[2026-06-17 15:35:30] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-18 13:12:30] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-18 13:12:41] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-18 13:12:57] [DRONE] TEXT: "move forwmove frmove forward" | INTENT: MOVE_FORWARD | CONF: 0.90 | STATUS: FORWARD_2.0S
[2026-06-18 13:16:40] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-18 13:16:53] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-18 13:17:01] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-18 13:17:13] [DRONE] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: RIGHT_2.0S
[2026-06-18 13:17:40] [DRONE] TEXT: "move left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: LEFT_2.0S
[2026-06-18 13:18:03] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-18 13:18:21] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-18 13:18:54] [DRONE] TEXT: "move backward 10" | INTENT: MOVE_BACKWARD | CONF: 0.95 | STATUS: BACKWARD_10.0S
[2026-06-18 13:20:12] [DRONE] TEXT: "move forwards 10" | INTENT: MOVE_FORWARD | CONF: 0.90 | STATUS: FORWARD_10.0S
[2026-06-18 13:20:19] [DRONE] TEXT: "tutrun left" | INTENT: MOVE_LEFT | CONF: 0.90 | STATUS: LEFT_2.0S
[2026-06-18 13:20:33] [DRONE] TEXT: "move backword" | INTENT: MOVE_BACKWARD | CONF: 0.92 | STATUS: BACKWARD_2.0S
[2026-06-18 13:21:14] [DRONE] TEXT: "move backward 10" | INTENT: MOVE_BACKWARD | CONF: 0.95 | STATUS: BACKWARD_10.0S
[2026-06-18 13:21:26] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-18 13:21:32] [DRONE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-18 13:29:17] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-18 13:29:28] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-18 13:30:02] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-18 13:30:24] [DRONE] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: RIGHT_2.0S
[2026-06-18 13:30:35] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-18 13:30:45] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-18 13:31:00] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-18 13:31:09] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
